full,address,phone,U-pick pumpkins,Mazes & events,Rides,Seasonal treats,Fall décor,description,expand,farm/event,features,url
<a href='http://www.northernlightschristmastreefarm.com'>Northern Lights Christmas Tree Farm</a>,36777 Wheeler Road Pleasant Hill OR,541-746-5161,&check;,&check;,&check;,&check;,&check;,"Annual Colonial Harvest Days are underway through Oct. 31. Farm higlights include a corn maze, a life-size “Hayflower” replica of the Mayflower; record-breaking giant pumpkins on display; hayrides to the U-pick pumpkin patch with Pilgrim Bob; a menagerie of farm animals; fall décor in the country store; and pie-eating contests; also a U-pick dahlia patch. Admission to the farm, including all activities, is $9.50 for ages 12 and older, $7.50 for ages 4 to 11, and free for ages 3 and younger. Weekend hours through Oct. 31 are from 10 a.m. to 8 p.m. Friday and Sunday, from 10 a.m. to 10 p.m. Saturday.",,Northern Lights Christmas Tree Farm,PMHTF,http://www.northernlightschristmastreefarm.com
<a href='http://ogredneck.com'>Organic Redneck</a>,44382 McKenzie Highway Leaburg OR,541-896-3928,&check;,,,,,"Enjoy U-pick patches of heirloom winter squash and pumpkin varieties. Wear boots and bring boxes to take home produce. Farm stand stocks carrots, kale, cucumbers, salad mix and radishes. Weekend hours: 9 a.m. to 6 p.m. Saturday and Sunday.",,Organic Redneck,P,http://www.ogredneck.com
Patton’s Country Farms,80432 Delight Valley School Road Cottage Grove OR,541-942-7672,&check;,,,,&check;,"No pumpkins this year, but there are U-pick peppers for salsa making, fall décor such as gourds, winter squash, and fall produce including apples, as well as U-pick dahlias while they last. Weekend hours: 10 a.m. to 5 p.m. Friday and Saturday; noon to 5 p.m. Sunday.",,Patton’s Country Farms,PF,
Red Hat Melons “The Melon Shack”,Garden Avenue and Highway 20 Corvallis OR,541-207-6010,&check;,&check;,,&check;,&check;,"The Melon Shack has a nonhaunted corn maze open daily from 10 a.m. to 5 p.m. throughout October ($5 for ages 4 and older; free for 3 and younger). The corn maze turns haunted from 7:30 p.m. to 10 p.m. on Friday and Saturday nights starting Oct. 7 ($10) and including Halloween night. The haunted maze is recommended for 12 and older. Other goodies on the farm include U-pick pumpkins, a hay bale fort, fall décor, including gourds and corn stalks, and various delicious treats such as doughnuts and kettle corn. Weekend hours: 10 a.m. to 6 p.m. Saturday and Sunday unless otherwise noted. The Melon Shack is on Facebook.",,Red Hat Melons “The Melon Shack”,PMTF,
<a href='river-bend-farm.com'>River Bend Farms and Pleasant Hil Orchard</a>,35031 Fremont Ave. Eugene OR,541-520-2561,,,,&check;,,"No pumpkins here, but seasonal farm grown goodies include already picked apples and U-pick Asian pears; apple cider; hazelnuts (these will be available by end of October). Weekend hours: 9 a.m. to 5:30 p.m. Saturday; noon to 4 p.m. Sunday, through October.",,River Bend Farms and Pleasant Hill Orchard,T,http://river-bend-farm.com
<a href='http://www.rubyandambers.com'>Ruby and Amber's Farm</a>,75976 Booth Kelly Camp Road,541-946-1504,&check;,,&check;,&check;,,"This is an appointment-only farm; however, Ruby and Amber’s is hosting a Fall Open Farm Day from noon to 4 p.m. Oct. 16, featuring wagon rides, a pumpkin patch, sunflower picking, farm tour and more.",,Ruby and Amber's Farm,PHT,http://www.rubyandambers.com
<a href='http://www.shadyoaksplantsandproduce.com'>Shady Oaks Plants & Produce</a>,77380 Highway 99 Cottage Grove OR,541-942-5004,&check;,&check;,&check;,,,"In addition to a U-pick pumpkin patch, several special events unfold here in October, including the outdoor screening of two movies — “Hotel Transylvania” Oct. 8 from 5 p.m. to 9 p.m. and “Hocus Pocus” Oct. 15 from 5 p.m. to 9 p.m. — plus seasonsal treats available for purchase. Please note that the movie screenings are limited to 125 people. Free tickets for the screenings are available at the farm. Enjoy tasty goodies with the characters of “The Wizard of Oz” from 9 a.m. to noon Oct. 22. Weekend hours: 10 a.m. to 5:30 p.m. Saturday and Sunday, unless otherwise noted.",,Shady Oaks Plants & Produce,PMH,http://www.shadyoaksplantsandproduce.com
<a href='http://www.thistledownfarms.net'>Thistledown Farm</a>,91455 River Road Eugene OR,541-689-2019,&check;,,&check;,&check;,&check;,"Pick from many varieties of apples and other seasonal produce, as well as plenty of fall décor, including corn stalks and decorative ears of corn, gourds and fall mums. Take a horse-drawn wagon ride on weekends to the U-pick pumpkin patch ($3.75 per person). There is also a hay maze and a corn maze. Treats include ice cream, jams and jellies, doughnuts and pastries, and fresh apple cider. Weekend hours: 9 a.m. to 6 p.m.Saturday and Sunday.",,Thistledown Farm,PHTF,http://www.thistledownfarms.net
<a href='http://willamalane.org'>Haunted Hay Rides at Dorris Ranch</a>,205 Dorris Street Springfield OR,541-736-4544,,&check;,&check;,&check;,,"Tickets go on sale at 8 a.m. Saturday, Oct. 1, for the annual Willamalane Park and Recreation District’s Haunted Hay Ride, Oct. 24-26, at Dorris Ranch. Ride through the haunted trails, where zombies, ghosts and even historic figures will emerge from the shadows. Hot cocoa and cookies will be served. Cost is $7.50 for in-district, $9 for out-of-district. This sells out quickly; willamalane.org.",,Haunted Hay Rides at Dorris Ranch,MHT,http://willamalane.org
<a href='http://spencercreekgrange.org'>Spencer Creek Grange Harvest Fair</a>,86013 Lorane Highway Eugene OR,,,,,&check;,&check;,"The Spencer Creek Grange Harvest Fair from 10 a.m. to 2 p.m. Oct. 8. Features live music and cider pressing, crafts, baked goods and autumn fruits and veggies. Place orders for pasture-raised beef, chicken and fresh goat milk.",,Spencer Creek Grange Harvest Fair,TF,http://spencercreekgrange.org
<a href='http://wildcraftciderworks.com'>Wildcraft Cider Works' Urban Orchard Harvest Party</a>,"390 Lincoln St., Eugene OR",541-485-8162 ,,,,&check;,,"The Urban Orchard Harvest Party is from noon to 11 p.m. Oct. 15 at 390 Lincoln St. This street festival features live music, local craft food and drink, apple pressing, arts, as well as ciders from WildCraft Cider Works, seasonal beer and wine. Tickets are $15 in advance; $20 at the door; $30 for show and after party.",,Wildcraft Cider Works' Urban Orchard Harvest Party,T,http://wildcraftciderworks.com
<a href='http://nearbynature.org'>Nearby Nature’s Haunted Hike</a>,Alton Baker Park 100 Day Island Road Eugene OR,541-687-9699,,&check;,,&check;,,"Nearby Nature’s annual Haunted Hike is from 5:30 p.m. to 9 p.m. Oct. 22 at Alton Baker Park. Enjoy a pumpkin-lit walk through the woods to encounter furry and feathered friends in costume. There also will be creepy crafts, games. Bring a flashlight and appropriate raingear; event goes on rain or shine. Cost to attend is $5, but members are free. Must register to attend at nearbynature.org.",,Nearby Nature’s Haunted Hike,MT,http://nearbynature.org
